c0,c1,c2,c3
2249149.2724329322,14481780.888101339,1740873.1147825001,8936688.1446523853
2246616.6788710668,14465749.740652775,1729897.5081107868,8889717.5100388527
2244089.3868943825,14449750.340034639,1719767.6896565473,8862353.5482827704
2241566.6785795419,14433781.691201709,1712206.4539397233,8835044.3525086641
2239049.1759352149,14417847.807362575,1709035.5279910376,8807807.1184907034
2237169.1638602144,14402916.993515812,1706274.4106230384,8817724.3715436421
2234699.744654485,14387917.508689124,1703751.6597307855,8763651.7590864711
2232194.8621137454,14372078.504925348,1700602.5105845304,8736639.2358103842
2229695.3316520061,14356269.861317443,1697452.5318452998,8709693.7954769768
2227200.6305990322,14340496.536178673,1694309.7569597813,8682822.9215284046
2224711.0597579335,14324754.678188724,1691172.6416950338,8656009.6925579943
2222227.0004374492,14309051.434212463,1688051.2562695427,8629269.5769905597
2219748.3474862585,14293374.982314656,1684919.6575643229,8602590.2393501513
2217273.3837469695,14277730.841473429,1681801.4560510425,8575971.6726278998
2214803.5175866215,14262116.89349675,1678687.5312409571,8549416.3921697941
2212338.811518325,14246535.660164131,1675578.9233178371,8522925.8790362403
2209879.0766556282,14230990.034790097,1672478.0113490694,8496505.481605541
2207426.694723899,14215506.30165063,1669378.7155113728,8470150.1140079387
2204977.7749094581,14200025.332858358,1666291.0191658984,8443863.7706213854
2202532.5269680005,14184568.007687587,1663204.6832850303,8417628.9956969135
2200114.7376094079,14169144.053076919,1660219.7781574812,8391464.7693353016
2197679.5243993425,14153755.50868902,1657148.0292095328,8365374.1477143103
2195248.8257107949,14138399.063100662,1654083.8226411829,8339349.2942752894
2192822.7602970428,14123066.623783458,1651018.9518296611,8313376.6431375872
2190401.4918709509,14107818.726913789,1647962.6212740852,8287471.2485366324
2187985.0208318466,14092552.083408821,1644913.2452042417,8261639.9349548286
2185572.6612477605,14077312.32646828,1641867.3403038245,8235864.7322967481
2183165.3882865682,14062104.378584482,1638826.0358802455,8210158.6880046297
2180762.7816498517,14046926.205294007,1635791.1678982438,8184547.7767919833
2178364.8001189972,14031782.235232057,1632765.9886167564,8158975.0472528487
2175972.0734019605,14016662.407013148,1629739.8707051482,8133461.5868940772
2173582.7984488625,14001571.940774567,1626721.6916873415,8108013.8440425424
2171198.3345749192,13986512.318344528,1623709.9200560327,8082630.0608165674
2168818.6371907429,13971482.44948365,1620702.9223558647,8057310.7469797116
2166443.5158667192,13956481.704769522,1634823.3236848342,8032058.0934667997
